Year,College Code,Branch Code,Caste,Mark
2018,1013,ME,ST,
2018,1013,XM,OC,87.0
2018,1013,XM,BC,
2018,1013,XM,BCM,
2018,1013,XM,MBC,
2018,1013,XM,SC,
2018,1013,XM,SCA,
2018,1013,XM,ST,
2018,1014,CE,OC,140.5
2018,1014,CE,BC,94.0
2018,1014,CE,BCM,95.0
2018,1014,CE,MBC,125.5
2018,1014,CE,SC,100.5
2018,1014,CE,SCA,
2018,1014,CE,ST,116.75
2018,1014,CS,OC,162.0
2018,1014,CS,BC,145.0
2018,1014,CS,BCM,120.25
2018,1014,CS,MBC,143.0
2018,1014,CS,SC,132.75
2018,1014,CS,SCA,
2018,1014,CS,ST,97.5
2018,1014,EC,OC,165.5
2018,1014,EC,BC,140.25
2018,1014,EC,BCM,111.5
2018,1014,EC,MBC,152.25
2018,1014,EC,SC,115.75
2018,1014,EC,SCA,122.0
2018,1014,EC,ST,
2018,1014,IT,OC,157.25
2018,1014,IT,BC,136.75
2018,1014,IT,BCM,109.0
2018,1014,IT,MBC,146.75
2018,1014,IT,SC,118.75
2018,1014,IT,SCA,127.5
2018,1014,IT,ST,
2018,1014,XC,OC,122.25
2018,1014,XC,BC,
2018,1014,XC,BCM,
2018,1014,XC,MBC,
2018,1014,XC,SC,
2018,1014,XC,SCA,
2018,1014,XC,ST,
2018,1015,CS,OC,165.0
2018,1015,CS,BC,151.25
2018,1015,CS,BCM,108.0
2018,1015,CS,MBC,141.25
2018,1015,CS,SC,115.25
2018,1015,CS,SCA,
2018,1015,CS,ST,118.0
2018,1015,EC,OC,152.25
2018,1015,EC,BC,141.5
2018,1015,EC,BCM,113.75
2018,1015,EC,MBC,131.0
2018,1015,EC,SC,97.5
2018,1015,EC,SCA,105.25
2018,1015,EC,ST,94.0
2018,1015,EE,OC,156.75
2018,1015,EE,BC,126.0
2018,1015,EE,BCM,
2018,1015,EE,MBC,129.0
2018,1015,EE,SC,115.0
2018,1015,EE,SCA,
2018,1015,EE,ST,138.75
2018,1015,ME,OC,154.75
2018,1015,ME,BC,138.0
2018,1015,ME,BCM,137.0
2018,1015,ME,MBC,143.75
2018,1015,ME,SC,119.0
2018,1015,ME,SCA,137.75
2018,1015,ME,ST,
2018,1015,XM,OC,86.75
2018,1015,XM,BC,
2018,1015,XM,BCM,
2018,1015,XM,MBC,
2018,1015,XM,SC,
2018,1015,XM,SCA,
2018,1015,XM,ST,
2018,1026,CS,OC,181.5
2018,1026,CS,BC,174.0
2018,1026,CS,BCM,175.0
2018,1026,CS,MBC,172.25
2018,1026,CS,SC,158.25
2018,1026,CS,SCA,167.0
2018,1026,CS,ST,109.25
2018,1026,EC,OC,180.25
2018,1026,EC,BC,175.0
2018,1026,EC,BCM,175.25
2018,1026,EC,MBC,170.75
2018,1026,EC,SC,157.25
2018,1026,EC,SCA,
2018,1026,EC,ST,
2018,1026,EE,OC,169.5
2018,1026,EE,BC,159.25
2018,1026,EE,BCM,131.75
2018,1026,EE,MBC,158.25
2018,1026,EE,SC,144.5
2018,1026,EE,SCA,136.0
2018,1026,EE,ST,
2019,1,BY,OC,192.0
2019,1,BY,BC,188.0
2019,1,BY,BCM,188.0
2019,1,BY,MBC,187.5
2019,1,BY,SC,178.5
2019,1,BY,SCA,152.0
2019,1,BY,ST,144.5
2019,1,CE,OC,189.75
2019,1,CE,BC,188.5
2019,1,CE,BCM,186.0
2019,1,CE,MBC,186.0
2019,1,CE,SC,183.0
2019,1,CE,SCA,152.5
2019,1,CE,ST,171.5
2019,1,CM,OC,195.0
2019,1,CM,BC,194.0
2019,1,CM,BCM,192.5
2019,1,CM,MBC,191.5
2019,1,CM,SC,183.0
2019,1,CM,SCA,182.0
2019,1,CM,ST,176.5
2019,1,CS,OC,198.0
2019,1,CS,BC,196.5
2019,1,CS,BCM,197.5
2019,1,CS,MBC,194.75
2019,1,CS,SC,190.25
2019,1,CS,SCA,
2019,1,CS,ST,171.0
2019,1,EC,OC,196.75
2019,1,EC,BC,195.5
2019,1,EC,BCM,195.0
2019,1,EC,MBC,193.0
2019,1,EC,SC,191.0
2019,1,EC,SCA,179.5
2019,1,EC,ST,186.0
2019,1,EE,OC,195.0
2019,1,EE,BC,192.0
2019,1,EE,BCM,190.0
2019,1,EE,MBC,191.5
2019,1,EE,SC,184.5
2019,1,EE,SCA,176.5
2019,1,EE,ST,182.75
2019,1,EM,OC,193.33
2019,1,EM,BC,191.75
2019,1,EM,BCM,191.0
2019,1,EM,MBC,189.0
2019,1,EM,SC,179.0
2019,1,EM,SCA,154.5
2019,1,EM,ST,170.75
2019,1,GI,OC,187.5
2019,1,GI,BC,185.25
2019,1,GI,BCM,183.0
2019,1,GI,MBC,183.5
2019,1,GI,SC,174.0
2019,1,GI,SCA,170.25
2019,1,GI,ST,165.0
